Latitude (decimal degrees):	-6.777
Longitude (decimal degrees):	-79.844
Radiation database:	PVGIS-NSRDB

year		month		H(i)_m
2005		Jan		183.9
2005		Feb		154.46
2005		Mar		177.41
2005		Apr		198.92
2005		May		183.05
2005		Jun		175.8
2005		Jul		165.85
2005		Aug		170.71
2005		Sep		171.93
2005		Oct		191.33
2005		Nov		172.35
2005		Dec		178.62
2006		Jan		186.99
2006		Feb		164.28
2006		Mar		195.98
2006		Apr		196.41
2006		May		205.36
2006		Jun		146.76
2006		Jul		127.25
2006		Aug		165.23
2006		Sep		186.89
2006		Oct		190.39
2006		Nov		180.63
2006		Dec		178.27
2007		Jan		173.02
2007		Feb		174.25
2007		Mar		190.11
2007		Apr		183.04
2007		May		193.41
2007		Jun		166.39
2007		Jul		175.25
2007		Aug		168.03
2007		Sep		174.15
2007		Oct		167.3
2007		Nov		176.24
2007		Dec		177.78
2008		Jan		173.21
2008		Feb		168.06
2008		Mar		190.66
2008		Apr		184.76
2008		May		167.6
2008		Jun		102.8
2008		Jul		130.24
2008		Aug		124.22
2008		Sep		173.17
2008		Oct		181.27
2008		Nov		179.29
2008		Dec		187.94
2009		Jan		171.36
2009		Feb		162.33
2009		Mar		186.5
2009		Apr		191.84
2009		May		194.17
2009		Jun		120.43
2009		Jul		137.95
2009		Aug		153.52
2009		Sep		161.09
2009		Oct		196.01
2009		Nov		159.58
2009		Dec		173.49
2010		Jan		166.98
2010		Feb		146.72
2010		Mar		185.27
2010		Apr		190.92
2010		May		192.77
2010		Jun		180.19
2010		Jul		175.82
2010		Aug		170.56
2010		Sep		175.03
2010		Oct		184.82
2010		Nov		178.09
2010		Dec		185.35
2011		Jan		182.94
2011		Feb		168.99
2011		Mar		193.55
2011		Apr		194.08
2011		May		192.03
2011		Jun		147.83
2011		Jul		156.28
2011		Aug		165.8
2011		Sep		189.29
2011		Oct		196.98
2011		Nov		184.57
2011		Dec		175.46
2012		Jan		176.39
2012		Feb		175.86
2012		Mar		204.31
2012		Apr		193.99
2012		May		196.36
2012		Jun		162.09
2012		Jul		164.29
2012		Aug		183.82
2012		Sep		106.63
2012		Oct		183.69
2012		Nov		178.81
2012		Dec		182.09
2013		Jan		180.17
2013		Feb		171.79
2013		Mar		174.75
2013		Apr		189.26
2013		May		177.74
2013		Jun		161.12
2013		Jul		172.02
2013		Aug		179.81
2013		Sep		180.79
2013		Oct		185.22
2013		Nov		172.13
2013		Dec		188.12
2014		Jan		176.71
2014		Feb		171.21
2014		Mar		188.88
2014		Apr		193.12
2014		May		169.45
2014		Jun		146.74
2014		Jul		166.3
2014		Aug		172.23
2014		Sep		193.77
2014		Oct		183.43
2014		Nov		177.69
2014		Dec		186.14
2015		Jan		182.88
2015		Feb		156.53
2015		Mar		192.87
2015		Apr		185.92
2015		May		172.78
2015		Jun		139.73
2015		Jul		173.56
2015		Aug		170.32
2015		Sep		187.0
2015		Oct		186.36
2015		Nov		162.46
2015		Dec		170.55

H(i)_m: Irradiation on plane at angle (kWh/m2/mo)

PVGIS (c) European Union, 2001-2022
